frame_idx,yolo_detected,yolo_conf,raw_cx,raw_cy,raw_w,raw_h,kalman_active,track_id,kalman_status,lost_count,kalman_cx,kalman_cy,kalman_w,kalman_h,vx,vy,vw,vh
11,True,0.9459354877471924,888.1309814453125,1347.0798950195312,176.947509765625,458.9288330078125,True,1,update,0,888.8484617102266,1350.1572166574833,176.8272478298905,463.10433351628166,-1.5301525696029172,-0.47688782683304387,-1.4911973897637696,-0.8979937721355602
12,True,0.9468966722488403,886.4930114746094,1345.7449951171875,175.80206298828125,457.055908203125,True,1,update,0,887.0728440456434,1348.5098577345432,175.48068058741669,460.6078684683515,-1.5621998704927071,-0.6297015676329484,-1.471262655602984,-1.1183150574532512
13,True,0.9462904930114746,884.4161987304688,1345.6055908203125,174.8111572265625,457.067626953125,True,1,update,0,885.2081350868227,1347.2514572283883,174.24011947954995,458.7926408534481,-1.5984454831284376,-0.7050301414490655,-1.4422040454545053,-1.2060964811725063
14,True,0.9451191425323486,882.8857116699219,1345.3389892578125,173.51580810546875,457.924072265625,True,1,update,0,883.4227163200757,1346.2345962905215,172.99047904453408,457.6770810114682,-1.6192251088898253,-0.7396860405434768,-1.4198357199466538,-1.1955796809773247
15,False,,,,,,True,1,predict_only,1,881.8034912111858,1345.494910249978,171.57064332458742,456.48150133049086,-1.6192251088898253,-0.7396860405434768,-1.4198357199466538,-1.1955796809773247
16,True,0.9405438303947449,879.4791870117188,1344.30126953125,169.4459228515625,458.8583984375,True,1,update,0,879.9858412998184,1344.627471353682,169.94470411067087,456.3304894954129,-1.63853105633824,-0.7521158874615216,-1.4404770810842673,-1.0909657235686254
17,True,0.9411160945892334,877.8167114257812,1343.920166015625,168.4361572265625,458.669677734375,True,1,update,0,878.2126694975733,1343.8867262525755,168.4863951936504,456.13810052656345,-1.6509141101291644,-0.7510701040463174,-1.4421494161556436,-1.0066938949910123
18,True,0.9413379430770874,876.1838989257812,1343.7552490234375,167.3448486328125,459.873291015625,True,1,update,0,876.473731066314,1343.2799946678463,167.11613835476075,456.26548198527007,-1.6586400703434092,-0.7384014047219654,-1.4357856621532905,-0.9063083357926042
19,True,0.9425893425941467,874.5203247070312,1343.22314453125,166.8841552734375,460.14404296875,True,1,update,0,874.7511985901529,1342.6893236917476,165.9467755796533,456.4181501947002,-1.6640371643066194,-0.7259223785481957,-1.41337577281081,-0.8172336040461468
20,False,,,,,,True,1,predict_only,1,873.0871614258463,1341.9634013131995,164.53339980684248,455.6009165906541,-1.6640371643066194,-0.7259223785481957,-1.41337577281081,-0.8172336040461468
21,False,,,,,,True,1,predict_only,2,871.4231242615397,1341.2374789346513,163.12002403403167,454.78368298660797,-1.6640371643066194,-0.7259223785481957,-1.41337577281081,-0.8172336040461468
22,False,,,,,,True,1,predict_only,3,869.7590870972331,1340.5115565561032,161.70664826122086,453.96644938256185,-1.6640371643066194,-0.7259223785481957,-1.41337577281081,-0.8172336040461468
23,False,,,,,,True,1,predict_only,4,868.0950499329265,1339.785634177555,160.29327248841005,453.1492157785157,-1.6640371643066194,-0.7259223785481957,-1.41337577281081,-0.8172336040461468
24,False,,,,,,True,1,predict_only,5,866.4310127686199,1339.059711799007,158.87989671559924,452.3319821744696,-1.6640371643066194,-0.7259223785481957,-1.41337577281081,-0.8172336040461468
25,False,,,,,,True,1,predict_only,6,864.7669756043133,1338.3337894204587,157.46652094278843,451.5147485704235,-1.6640371643066194,-0.7259223785481957,-1.41337577281081,-0.8172336040461468
26,False,,,,,,True,1,predict_only,7,863.1029384400067,1337.6078670419106,156.05314516997763,450.69751496637735,-1.6640371643066194,-0.7259223785481957,-1.41337577281081,-0.8172336040461468
27,False,,,,,,True,1,predict_only,8,861.4389012757001,1336.8819446633624,154.63976939716682,449.88028136233123,-1.6640371643066194,-0.7259223785481957,-1.41337577281081,-0.8172336040461468
28,False,,,,,,True,1,predict_only,9,859.7748641113935,1336.1560222848143,153.226393624356,449.0630477582851,-1.6640371643066194,-0.7259223785481957,-1.41337577281081,-0.8172336040461468
29,False,,,,,,True,1,predict_only,10,858.1108269470869,1335.4300999062662,151.8130178515452,448.245814154239,-1.6640371643066194,-0.7259223785481957,-1.41337577281081,-0.8172336040461468
30,False,,,,,,False,,deactivated,,,,,,,,,
